location,size,total_sqft,bath,price,Place,bhk
"Kailash Colony, Greater Kailash",3 bhk,1600,3,225,Delhi,3
"Kailash Colony, Greater Kailash",4 bhk,4500,4,700,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,2150,4,450,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,2107,4,511,Delhi,4
"Kailash Colony, Greater Kailash",3 bhk,1150,3,255,Delhi,3
"Kailash Colony, Greater Kailash",3 bhk,1240,3,265,Delhi,3
"Kailash Colony, Greater Kailash",2 bhk,1000,2,150,Delhi,2
"Kailash Colony, Greater Kailash",4 bhk,4500,4,550,Delhi,4
"Kailash Colony, Greater Kailash",3 bhk,1150,3,260,Delhi,3
"Kailash Colony, Greater Kailash",4 bhk,2000,4,380,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,4500,5,725,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,3000,5,650,Delhi,4
"Ram Nagar, Shahdara",2 bhk,700,2,46,Delhi,2
"Jyoti Nagar West, Shahdara",2 bhk,750,2,92,Delhi,2
"Hans Apartments, Vishwas Nagar, Shahdara",4 bhk,1350,3,95,Delhi,4
"Naveen Shahdara, Shahdara",2 bhk,900,2,45,Delhi,2
"Balbir Nagar, Shahdara",3 bhk,970,2,65,Delhi,3
"Rohitash Nagar East, Shahdara",3 bhk,1000,2,56.5,Delhi,3
"Naveen Shahdara, Shahdara",3 bhk,1425,3,93,Delhi,3
Shahdara,2 bhk,440,2,27,Delhi,2
"Vishwas Nagar, Shahdara",2 bhk,1017,2,65,Delhi,2
"DDA RPS Flats, Mansarowar Park, Shahdara",2 bhk,650,2,58,Delhi,2
Shahdara,3 bhk,950,2,55,Delhi,3
"Yamuna Vihar, Shahdara",3 bhk,810,2,60,Delhi,3
"Balbir Nagar, Shahdara",2 bhk,750,2,45,Delhi,2
Shahdara,2 bhk,990,2,41,Delhi,2
"Ram Nagar, Shahdara",3 bhk,800,2,38,Delhi,3
Shahdara,2 bhk,675,1,33,Delhi,2
"Rohtash Nagar, Shahdara",2 bhk,558,1,29,Delhi,2
"Ram Nagar Extension, Shahdara",2 bhk,445,1,20,Delhi,2
"Maujpur, Shahdara",2 bhk,360,1,15.5,Delhi,2
"Mansarowar Park, Shahdara",4 bhk,1350,3,113,Delhi,4
"Gorakh Park West, Shahdara",3 bhk,850,2,45,Delhi,3
"Shivnam Apartment, Shahdara",2 bhk,846,1,33,Delhi,2
"Mansarowar Park, Shahdara",4 bhk,1300,3,115,Delhi,4
"Ram Nagar Extension, Shahdara",3 bhk,900,2,60,Delhi,3
"Hans Apartments, Vishwas Nagar, Shahdara",3 bhk,1050,2,90,Delhi,3
"Jyoti Colony, Shahdara",2 bhk,850,2,45,Delhi,2
Shahdara,4 bhk,1650,3,140,Delhi,4
"Ahinsha Vatika, Ram Nagar, Shahdara",2 bhk,1150,2,73,Delhi,2
Shahdara,1 bhk,495.1394,1,19,Delhi,1
"Naveen Shahdara, Shahdara",3 bhk,1053,2,70,Delhi,3
"Yamuna Vihar, Shahdara",3 bhk,810,2,60,Delhi,3
"Yamuna Vihar, Shahdara",1 bhk,750,2,64,Delhi,1
"Yamuna Vihar, Shahdara",2 bhk,540,1,27,Delhi,2
"Yamuna Vihar, Shahdara",2 bhk,747,2,65,Delhi,2
"Yamuna Vihar, Shahdara",2 bhk,720,1,40,Delhi,2
"Yamuna Vihar, Shahdara",1 bhk,376.7365,1,30,Delhi,1
